Tool,Error,TestCase
CrySL,Found broken hash functions,BrokenHashABSCase4
CrySL,Found broken hash functions,BrokenHashABICase10
CrySL,Found broken hash functions,BrokenHashBBCase4
CrySL,Found broken hash functions,BrokenHashABPSCase2
CrySL,Found broken hash functions,BrokenHashABMCCase2
CrySL,Found broken hash functions,BrokenHashABPSCase4
CrySL,Found broken hash functions,BrokenHashABICase12
CrySL,Found broken hash functions,BrokenHashABICase9
CrySL,Found broken hash functions,BrokenHashABMCCase4
CrySL,Found broken hash functions,BrokenHashABICase3
CrySL,Found broken hash functions,BrokenHashABSCase2
CrySL,Found broken hash functions,BrokenHashBBCase2
CryptoGuard,Found broken hash functions,BrokenHashABICase5
CryptoGuard,Found broken hash functions,BrokenHashABMCCase2
CryptoGuard,Found broken hash functions,BrokenHashABICase7
CryptoGuard,Found broken hash functions,BrokenHashBBCase2
CryptoGuard,Found broken hash functions,BrokenHashBBCase4
CryptoGuard,Found broken hash functions,BrokenHashABSCase4
CryptoGuard,Found broken hash functions,BrokenHashABICase12
CryptoGuard,Found broken hash functions,BrokenHashABPSCase2
CryptoGuard,Found broken hash functions,BrokenHashABICase9
CryptoGuard,Found broken hash functions,BrokenHashABICase10
CryptoGuard,Found broken hash functions,BrokenHashABSCase2
CryptoGuard,Found broken hash functions,BrokenHashABPSCase4
CryptoGuard,Found broken hash functions,BrokenHashABICase3
CryptoGuard,Found broken hash functions,BrokenHashABMCCase4
SemGrep,Found broken hash functions,BrokenHashABPSCase2
SemGrep,Found broken hash functions,BrokenHashBBCase2